student_id,attendance,marks,assignment,lms,risk_score,risk_label
1,84,96,34,20,28.8,Low
2,87,72,87,28,23.4,Low
3,93,87,95,26,15.1,Low
4,40,66,83,52,42.4,Medium
5,43,99,50,75,35.6,Medium
6,99,98,69,53,11.9,Low
7,43,91,49,94,36.3,Medium
8,79,87,48,84,24.3,Low
9,49,31,45,36,58.5,Medium
10,59,44,82,63,40.5,Medium
11,61,61,87,82,31.7,Medium
12,90,87,37,45,26,Low
13,76,96,79,50,20,Low
14,63,79,98,42,27.3,Low
15,46,86,49,81,37.9,Medium
16,64,83,97,60,24.1,Low
17,64,43,90,96,33.9,Medium
18,52,55,45,31,50.6,Medium
19,98,34,81,65,27.9,Low
20,41,85,42,39,45.8,Medium
21,78,56,35,54,39.6,Medium
22,79,70,90,42,25.2,Low
23,63,44,55,94,41.2,Medium
24,86,36,39,67,40.3,Medium
25,64,76,52,75,33.7,Medium
26,57,89,68,48,32.1,Medium
27,77,31,80,82,35.7,Medium
28,65,71,88,93,25.8,Low
29,53,87,42,41,40.2,Medium
30,48,60,32,96,46.8,Medium
31,49,82,56,84,36.2,Medium
32,60,63,74,36,38.7,Medium
33,91,62,64,29,29.3,Low
34,56,98,46,79,31.1,Medium
35,91,60,95,39,22.7,Low
36,45,83,56,82,37.7,Medium
37,55,58,84,62,37.6,Medium
38,87,80,96,71,14.9,Low
39,40,58,60,29,51.7,Medium
40,58,44,31,38,53.6,Medium
41,75,35,57,48,43.3,Medium
42,64,63,95,90,27.5,Low
43,89,76,34,46,30.2,Medium
44,91,93,84,85,10.4,Low
45,69,47,44,56,43.9,Medium
46,59,68,81,57,34.1,Medium
47,59,57,33,99,42.8,Medium
48,54,65,34,91,43,Medium
49,79,44,65,52,37,Medium
50,72,59,50,27,40.8,Medium
51,41,32,57,59,56.7,Medium
52,49,52,37,50,52.4,Medium
53,97,35,64,59,32,Medium
54,72,74,46,77,32.1,Medium
55,71,87,32,71,32,Medium
56,50,46,71,73,44.7,Medium
57,92,97,37,92,17.5,Low
58,63,39,47,43,49.4,Medium
59,75,81,75,49,25.8,Low
60,51,89,49,41,39,Medium
61,90,40,54,52,36,Medium
62,95,91,89,68,10.1,Low
63,68,42,86,92,33.8,Medium
64,74,69,97,36,26.7,Low
65,40,92,71,93,32.9,Medium
66,40,32,71,39,56.3,Medium
67,76,58,75,82,29,Low
68,93,50,72,50,28.4,Low
69,45,78,96,49,34.5,Medium
70,78,78,80,58,23.6,Low
71,80,77,48,22,33.1,Medium
72,92,42,41,76,34.8,Medium
73,57,95,47,39,35.4,Medium
74,55,94,63,94,27.8,Low
75,44,84,40,61,43.1,Medium
76,81,35,33,34,47.1,Medium
77,82,32,67,76,36.6,Medium
78,98,94,70,47,13.9,Low
79,71,88,75,97,20.5,Low
80,96,41,35,88,33.5,Medium
81,41,92,53,46,40.8,Medium
82,41,45,48,62,54.3,Medium
83,79,63,51,37,35.6,Medium
84,81,51,69,65,32,Medium
85,97,92,47,87,15.5,Low
86,75,99,34,59,27.6,Low
87,78,35,56,68,40.3,Medium
88,95,51,79,93,21.6,Low
89,51,75,52,81,38.6,Medium
90,86,58,72,62,27.6,Low
91,58,81,43,94,34.5,Medium
92,67,93,30,91,30.2,Medium
93,40,30,57,46,59,Medium
94,54,88,37,44,40.2,Medium
95,75,59,32,27,43.2,Medium
96,93,40,44,92,32.8,Medium
97,52,89,68,49,34,Medium
98,97,44,77,34,29.2,Low
99,82,61,82,99,22.6,Low
100,60,53,95,43,36.8,Medium
101,51,58,55,39,47.3,Medium
